Device address	Device ID	Factory Device ID	Firmware	Measurement mode	Gain	Speed	Y_AH_Cal (-)	TF_Cal (V/W)	Temp_Cal (°C)																																				
FF46	D2	12J692	 C3.8	H2   	1.005	Norm 	 0.999466	21.182169	23.924849																																				
Iteration	Time	Output (%)	Transfer (V/W)	Tsens (°C)	RH (%)	AH (kPa)	Corr transfer (-)	Utp (mV)	Ih (mA)	Uh (mV)	Ph (mW)	Usyst (V)	Alarm																																
0	13:49:29.85	0.0525	21.10010	25.18	41.37	1.3	0.999012	22.2437	1.30144	810.02	1.05420	3.26	0
1	13:49:30.56	0.0530	21.09975	25.18	41.37	1.3	0.998994	22.2433	1.30144	810.02	1.05419	3.26	0
2	13:49:30.64	0.0530	21.09975	25.18	41.37	1.3	0.998994	22.2430	1.30144	810.00	1.05418	3.26	0
3	13:49:30.89	0.0550	21.09905	25.18	41.37	1.3	0.998958	22.2428	1.30148	810.02	1.05421	3.26	0
4	13:49:31.19	0.0540	21.09940	25.18	41.37	1.3	0.998976	22.2436	1.30148	810.02	1.05423	3.26	0
5	13:49:31.49	0.0540	21.09947	25.18	41.37	1.3	0.998982	22.2431	1.30144	810.02	1.05420	3.26	0
6	13:49:31.79	0.0515	21.10031	25.18	41.37	1.3	0.999024	22.2433	1.30144	810.00	1.05416	3.26	0
7	13:49:32.09	0.0530	21.09982	25.18	41.37	1.3	0.999000	22.2433	1.30144	810.02	1.05419	3.26	0
8	13:49:32.39	0.0545	21.09919	25.18	41.37	1.3	0.998964	22.2431	1.30148	810.02	1.05422	3.26	0
9	13:49:32.69	0.0545	21.09912	25.18	41.37	1.3	0.998964	22.2431	1.30148	810.02	1.05422	3.26	0
10	13:49:32.99	0.0535	21.09968	25.18	41.37	1.3	0.998988	22.2436	1.30148	810.02	1.05422	3.26	0
11	13:49:33.29	0.0545	21.09919	25.18	41.37	1.3	0.998964	22.2426	1.30148	810.00	1.05419	3.26	0
12	13:49:33.59	0.0520	21.10010	25.18	41.37	1.3	0.999012	22.2424	1.30144	809.98	1.05414	3.26	0
13	13:49:33.89	0.0545	21.09926	25.18	41.37	1.3	0.998970	22.2425	1.30144	810.02	1.05419	3.26	0
14	13:49:34.19	0.0530	21.09989	25.18	41.37	1.3	0.999000	22.2426	1.30144	809.98	1.05416	3.26	0
15	13:49:34.49	0.0520	21.10010	25.18	41.37	1.3	0.999012	22.2422	1.30144	809.98	1.05413	3.26	0
16	13:49:34.79	0.0560	21.09863	25.18	41.37	1.3	0.998940	22.2431	1.30148	810.02	1.05424	3.26	0
17	13:49:35.09	0.0535	21.09961	25.18	41.37	1.3	0.998988	22.2435	1.30148	810.02	1.05421	3.26	0
18	13:49:35.39	0.0540	21.09940	25.18	41.37	1.3	0.998976	22.2431	1.30144	810.02	1.05421	3.26	0
19	13:49:35.69	0.0520	21.10031	25.18	41.37	1.3	0.999018	22.2421	1.30140	809.98	1.05412	3.26	0
20	13:49:35.99	0.0545	21.09912	25.18	41.37	1.3	0.998964	22.2426	1.30144	810.02	1.05420	3.26	0
21	13:49:36.29	0.0535	21.09968	25.18	41.37	1.3	0.998994	22.2428	1.30148	810.00	1.05418	3.26	0
22	13:49:36.59	0.0550	21.09898	25.18	41.37	1.3	0.998958	22.2428	1.30148	810.02	1.05421	3.26	0
23	13:49:36.89	0.0540	21.09940	25.18	41.37	1.3	0.998982	22.2424	1.30144	810.00	1.05417	3.26	0
24	13:49:37.19	0.0550	21.09905	25.18	41.37	1.3	0.998964	22.2425	1.30148	810.00	1.05419	3.26	0
25	13:49:37.49	0.0525	21.10003	25.18	41.37	1.3	0.999006	22.2435	1.30144	810.02	1.05419	3.26	0
26	13:49:37.79	0.0515	21.10038	25.18	41.37	1.3	0.999024	22.2443	1.30148	810.02	1.05422	3.26	0
27	13:49:38.09	0.0515	21.10031	25.18	41.37	1.3	0.999024	22.2432	1.30144	810.00	1.05416	3.26	0
28	13:49:38.39	0.0525	21.09989	25.18	41.37	1.3	0.999000	22.2439	1.30148	810.02	1.05422	3.26	0
29	13:49:38.69	0.0530	21.09975	25.18	41.37	1.3	0.998994	22.2434	1.30148	810.02	1.05421	3.26	0
30	13:49:38.99	0.0545	21.09933	25.18	41.37	1.3	0.998970	22.2425	1.30148	810.00	1.05418	3.26	0
31	13:49:39.29	0.0510	21.10059	25.18	41.37	1.3	0.999030	22.2434	1.30144	810.00	1.05416	3.26	0
32	13:49:39.59	0.0540	21.09947	25.18	41.37	1.3	0.998982	22.2425	1.30144	810.00	1.05418	3.26	0
33	13:49:39.89	0.0525	21.10010	25.18	41.37	1.3	0.999012	22.2431	1.30148	810.00	1.05417	3.26	0
34	13:49:40.19	0.0525	21.10003	25.18	41.37	1.3	0.999006	22.2433	1.30144	810.00	1.05418	3.26	0
35	13:49:40.49	0.0525	21.09996	25.18	41.37	1.3	0.999006	22.2429	1.30144	810.00	1.05417	3.26	0
36	13:49:40.79	0.0535	21.09968	25.18	41.37	1.3	0.998988	22.2438	1.30148	810.02	1.05422	3.26	0
37	13:49:41.09	0.0525	21.09996	25.18	41.37	1.3	0.999006	22.2440	1.30148	810.02	1.05422	3.26	0
38	13:49:41.39	0.0520	21.10024	25.18	41.37	1.3	0.999018	22.2430	1.30144	810.00	1.05416	3.26	0
39	13:49:41.69	0.0520	21.10010	25.18	41.37	1.3	0.999012	22.2439	1.30148	810.02	1.05421	3.26	0
40	13:49:41.99	0.0545	21.09926	25.18	41.37	1.3	0.998970	22.2424	1.30144	810.00	1.05418	3.26	0
41	13:49:42.29	0.0535	21.09961	25.18	41.37	1.3	0.998988	22.2428	1.30144	810.00	1.05418	3.26	0
42	13:49:42.59	0.0515	21.10052	25.18	41.37	1.3	0.999030	22.2433	1.30144	810.00	1.05416	3.26	0
43	13:49:42.89	0.0525	21.09982	25.19	41.37	1.3	0.999006	22.2424	1.30144	810.00	1.05415	3.26	0
44	13:49:43.19	0.0550	21.09884	25.19	41.37	1.3	0.998958	22.2426	1.30148	810.02	1.05421	3.26	0
45	13:49:43.49	0.0540	21.09947	25.18	41.37	1.3	0.998982	22.2428	1.30144	810.02	1.05419	3.26	0
46	13:49:43.79	0.0530	21.09982	25.18	41.37	1.3	0.999000	22.2426	1.30144	810.00	1.05416	3.26	0
47	13:49:44.09	0.0545	21.09919	25.18	41.37	1.3	0.998970	22.2424	1.30144	810.00	1.05418	3.26	0
48	13:49:44.39	0.0520	21.10017	25.18	41.37	1.3	0.999012	22.2423	1.30140	810.00	1.05413	3.26	0
49	13:49:44.69	0.0530	21.09982	25.18	41.37	1.3	0.999000	22.2425	1.30144	810.00	1.05416	3.26	0
50	13:49:44.99	0.0500	21.10094	25.18	41.37	1.3	0.999048	22.2432	1.30140	809.98	1.05413	3.26	0
51	13:49:45.29	0.0510	21.10052	25.18	41.37	1.3	0.999030	22.2430	1.30144	810.00	1.05414	3.26	0
52	13:49:45.59	0.0525	21.10003	25.18	41.37	1.3	0.999006	22.2436	1.30148	810.02	1.05419	3.26	0
53	13:49:45.89	0.0550	21.09905	25.18	41.37	1.3	0.998964	22.2431	1.30148	810.02	1.05422	3.26	0
54	13:49:46.19	0.0560	21.09856	25.18	41.37	1.3	0.998940	22.2419	1.30144	810.02	1.05419	3.26	0
55	13:49:46.49	0.0585	21.09751	25.18	41.37	1.3	0.998892	22.2412	1.30148	810.02	1.05421	3.26	0
56	13:49:46.79	0.0590	21.09751	25.18	41.37	1.3	0.998886	22.2410	1.30148	810.02	1.05420	3.26	0
57	13:49:47.09	0.0575	21.09807	25.18	41.37	1.3	0.998916	22.2407	1.30144	810.00	1.05416	3.26	0
