Device address	Device ID	Factory Device ID	Firmware	Measurement mode	Gain	Speed	Y_AH_Cal (-)	TF_Cal (V/W)	Temp_Cal (°C)																																				
FF47	D3	12J691	 C3.8	H2   	1.000	Norm 	 0.995544	20.464394	29.717340																																				
Iteration	Time	Output (%)	Transfer (V/W)	Tsens (°C)	RH (%)	AH (kPa)	Corr transfer (-)	Utp (mV)	Ih (mA)	Uh (mV)	Ph (mW)	Usyst (V)	Alarm																																
0	11:44:54.43	0.0360	20.52064	22.26	45.75	1.2	0.999312	19.8056	1.24732	773.78	0.96515	3.28	0
1	11:44:54.90	0.0365	20.52043	22.27	45.79	1.2	0.999306	19.8053	1.24732	773.78	0.96515	3.28	0
2	11:44:55.17	0.0370	20.52029	22.26	45.79	1.2	0.999300	19.8057	1.24732	773.80	0.96518	3.28	0
3	11:44:55.48	0.0370	20.52036	22.26	45.79	1.2	0.999300	19.8057	1.24732	773.78	0.96517	3.28	0
4	11:44:55.92	0.0360	20.52057	22.26	45.79	1.2	0.999312	19.8061	1.24736	773.80	0.96518	3.28	0
5	11:44:56.07	0.0370	20.52029	22.26	45.79	1.2	0.999300	19.8052	1.24732	773.78	0.96515	3.28	0
6	11:44:56.55	0.0380	20.51994	22.26	45.79	1.2	0.999282	19.8053	1.24732	773.80	0.96517	3.28	0
7	11:44:57.14	0.0350	20.52099	22.26	45.79	1.2	0.999330	19.8057	1.24732	773.78	0.96514	3.28	0
8	11:44:57.27	0.0360	20.52057	22.26	45.79	1.2	0.999312	19.8050	1.24728	773.78	0.96512	3.28	0
9	11:44:57.57	0.0360	20.52071	22.26	45.79	1.2	0.999318	19.8051	1.24732	773.76	0.96513	3.28	0
10	11:44:57.87	0.0370	20.52029	22.26	45.79	1.2	0.999294	19.8057	1.24732	773.80	0.96518	3.28	0
11	11:44:58.17	0.0375	20.52008	22.26	45.79	1.2	0.999288	19.8052	1.24732	773.78	0.96517	3.28	0
12	11:44:58.47	0.0370	20.52022	22.26	45.79	1.2	0.999294	19.8058	1.24732	773.80	0.96518	3.28	0
13	11:44:58.77	0.0360	20.52078	22.26	45.79	1.2	0.999318	19.8059	1.24732	773.78	0.96517	3.28	0
14	11:44:59.07	0.0370	20.52029	22.26	45.79	1.2	0.999294	19.8056	1.24732	773.80	0.96517	3.28	0
15	11:44:59.37	0.0380	20.51987	22.26	45.79	1.2	0.999276	19.8053	1.24732	773.80	0.96518	3.28	0
16	11:44:59.67	0.0360	20.52071	22.26	45.79	1.2	0.999318	19.8057	1.24732	773.78	0.96516	3.28	0
17	11:44:59.97	0.0365	20.52050	22.26	45.79	1.2	0.999306	19.8057	1.24732	773.78	0.96517	3.28	0
18	11:45:00.27	0.0385	20.51966	22.26	45.79	1.2	0.999264	19.8057	1.24732	773.82	0.96520	3.28	0
19	11:45:00.57	0.0365	20.52050	22.26	45.79	1.2	0.999306	19.8053	1.24732	773.78	0.96515	3.28	0
20	11:45:00.87	0.0350	20.52099	22.26	45.79	1.2	0.999330	19.8058	1.24732	773.78	0.96515	3.28	0
21	11:45:01.17	0.0345	20.52127	22.26	45.79	1.2	0.999342	19.8052	1.24728	773.78	0.96511	3.28	0
22	11:45:01.47	0.0360	20.52071	22.26	45.79	1.2	0.999318	19.8060	1.24732	773.80	0.96517	3.28	0
23	11:45:01.77	0.0350	20.52106	22.26	45.82	1.2	0.999336	19.8055	1.24732	773.78	0.96513	3.28	0
24	11:45:02.07	0.0370	20.52029	22.26	45.82	1.2	0.999300	19.8054	1.24732	773.80	0.96516	3.28	0
25	11:45:02.37	0.0350	20.52092	22.26	45.82	1.2	0.999330	19.8050	1.24728	773.76	0.96511	3.28	0
26	11:45:02.70	0.0360	20.52064	22.26	45.82	1.2	0.999318	19.8055	1.24732	773.78	0.96515	3.28	0
27	11:45:02.97	0.0370	20.52022	22.26	45.82	1.2	0.999294	19.8047	1.24732	773.78	0.96514	3.28	0
28	11:45:03.28	0.0370	20.52015	22.26	45.82	1.2	0.999294	19.8052	1.24732	773.78	0.96516	3.28	0
29	11:45:03.58	0.0380	20.51980	22.26	45.82	1.2	0.999276	19.8050	1.24732	773.78	0.96516	3.28	0
30	11:45:03.87	0.0365	20.52043	22.26	45.82	1.2	0.999306	19.8054	1.24732	773.78	0.96515	3.28	0
31	11:45:04.17	0.0370	20.52029	22.26	45.82	1.2	0.999300	19.8053	1.24732	773.78	0.96516	3.28	0
32	11:45:04.47	0.0370	20.52022	22.26	45.82	1.2	0.999294	19.8057	1.24732	773.80	0.96518	3.28	0
33	11:45:04.77	0.0360	20.52071	22.26	45.82	1.2	0.999318	19.8056	1.24732	773.78	0.96515	3.28	0
34	11:45:05.07	0.0375	20.52008	22.26	45.82	1.2	0.999288	19.8050	1.24732	773.78	0.96515	3.28	0
35	11:45:05.37	0.0355	20.52085	22.26	45.82	1.2	0.999324	19.8055	1.24732	773.78	0.96514	3.28	0
36	11:45:05.67	0.0360	20.52064	22.26	45.82	1.2	0.999312	19.8052	1.24732	773.78	0.96514	3.28	0
37	11:45:05.97	0.0365	20.52043	22.26	45.82	1.2	0.999306	19.8057	1.24732	773.80	0.96517	3.28	0
38	11:45:06.27	0.0350	20.52099	22.26	45.82	1.2	0.999330	19.8051	1.24728	773.76	0.96512	3.28	0
39	11:45:06.57	0.0370	20.52015	22.26	45.82	1.2	0.999294	19.8049	1.24732	773.78	0.96514	3.28	0
40	11:45:06.88	0.0355	20.52078	22.26	45.82	1.2	0.999324	19.8057	1.24732	773.78	0.96515	3.28	0
41	11:45:07.18	0.0355	20.52078	22.26	45.82	1.2	0.999318	19.8051	1.24728	773.78	0.96512	3.28	0
42	11:45:07.47	0.0370	20.52022	22.26	45.82	1.2	0.999294	19.8050	1.24732	773.78	0.96515	3.28	0
43	11:45:07.77	0.0385	20.51959	22.26	45.82	1.2	0.999264	19.8050	1.24732	773.80	0.96518	3.28	0
44	11:45:08.07	0.0355	20.52085	22.26	45.82	1.2	0.999324	19.8057	1.24732	773.78	0.96515	3.28	0
45	11:45:08.37	0.0350	20.52092	22.26	45.82	1.2	0.999330	19.8055	1.24732	773.78	0.96514	3.28	0
46	11:45:08.67	0.0355	20.52092	22.26	45.82	1.2	0.999330	19.8056	1.24732	773.78	0.96514	3.28	0
47	11:45:09.00	0.0370	20.52036	22.26	45.82	1.2	0.999300	19.8051	1.24732	773.78	0.96514	3.28	0
48	11:45:09.27	0.0350	20.52106	22.26	45.82	1.2	0.999336	19.8052	1.24728	773.76	0.96511	3.28	0
49	11:45:09.57	0.0370	20.52022	22.26	45.82	1.2	0.999294	19.8052	1.24732	773.80	0.96515	3.28	0
50	11:45:09.87	0.0360	20.52064	22.26	45.82	1.2	0.999318	19.8045	1.24728	773.76	0.96510	3.28	0
51	11:45:10.17	0.0375	20.52008	22.26	45.82	1.2	0.999288	19.8048	1.24732	773.78	0.96514	3.28	0
52	11:45:10.47	0.0390	20.51945	22.26	45.82	1.2	0.999258	19.8052	1.24736	773.80	0.96519	3.28	0
53	11:45:10.77	0.0335	20.52162	22.26	45.82	1.2	0.999360	19.8056	1.24728	773.76	0.96511	3.28	0
54	11:45:11.07	0.0375	20.52001	22.26	45.82	1.2	0.999288	19.8047	1.24732	773.78	0.96514	3.28	0
55	11:45:11.37	0.0365	20.52050	22.26	45.82	1.2	0.999306	19.8053	1.24732	773.78	0.96515	3.28	0
56	11:45:11.67	0.0360	20.52071	22.26	45.82	1.2	0.999318	19.8052	1.24732	773.78	0.96514	3.28	0
57	11:45:11.97	0.0355	20.52078	22.26	45.82	1.2	0.999318	19.8059	1.24732	773.80	0.96516	3.28	0
58	11:45:12.27	0.0365	20.52036	22.26	45.82	1.2	0.999300	19.8054	1.24732	773.78	0.96516	3.28	0
59	11:45:12.57	0.0360	20.52057	22.26	45.82	1.2	0.999312	19.8054	1.24732	773.78	0.96515	3.28	0
60	11:45:12.87	0.0360	20.52057	22.26	45.82	1.2	0.999312	19.8045	1.24728	773.76	0.96511	3.28	0
61	11:45:13.17	0.0360	20.52057	22.26	45.82	1.2	0.999312	19.8051	1.24732	773.78	0.96514	3.28	0
62	11:45:13.47	0.0360	20.52064	22.26	45.82	1.2	0.999318	19.8049	1.24728	773.78	0.96512	3.28	0
63	11:45:13.77	0.0390	20.51952	22.26	45.82	1.2	0.999264	19.8049	1.24732	773.78	0.96517	3.28	0
64	11:45:14.07	0.0350	20.52092	22.27	45.82	1.2	0.999336	19.8047	1.24728	773.76	0.96510	3.28	0
65	11:45:14.37	0.0370	20.52008	22.27	45.82	1.2	0.999294	19.8051	1.24732	773.78	0.96515	3.28	0
66	11:45:14.67	0.0375	20.52001	22.26	45.82	1.2	0.999288	19.8048	1.24732	773.78	0.96514	3.28	0
67	11:45:14.97	0.0365	20.52043	22.26	45.85	1.2	0.999306	19.8050	1.24732	773.78	0.96514	3.28	0
68	11:45:15.27	0.0380	20.51973	22.26	45.85	1.2	0.999270	19.8050	1.24732	773.78	0.96517	3.28	0
69	11:45:15.57	0.0390	20.51952	22.26	45.85	1.2	0.999264	19.8048	1.24732	773.78	0.96517	3.28	0
70	11:45:15.87	0.0355	20.52085	22.26	45.85	1.2	0.999330	19.8060	1.24732	773.78	0.96517	3.28	0
71	11:45:16.17	0.0365	20.52050	22.26	45.85	1.2	0.999312	19.8050	1.24732	773.78	0.96514	3.28	0
72	11:45:16.47	0.0365	20.52029	22.26	45.85	1.2	0.999300	19.8054	1.24732	773.78	0.96517	3.28	0
73	11:45:16.77	0.0375	20.52008	22.26	45.85	1.2	0.999288	19.8050	1.24732	773.78	0.96515	3.28	0
74	11:45:17.08	0.0345	20.52127	22.26	45.85	1.2	0.999348	19.8053	1.24728	773.76	0.96511	3.28	0
75	11:45:17.37	0.0345	20.52120	22.26	45.85	1.2	0.999342	19.8054	1.24728	773.78	0.96512	3.28	0
76	11:45:17.68	0.0355	20.52078	22.26	45.85	1.2	0.999324	19.8052	1.24732	773.78	0.96513	3.28	0
77	11:45:17.97	0.0365	20.52036	22.26	45.85	1.2	0.999300	19.8053	1.24732	773.78	0.96515	3.28	0
78	11:45:18.27	0.0375	20.52008	22.26	45.85	1.2	0.999288	19.8047	1.24732	773.78	0.96514	3.28	0
79	11:45:18.57	0.0370	20.52015	22.26	45.85	1.2	0.999294	19.8054	1.24732	773.80	0.96517	3.28	0
80	11:45:18.87	0.0365	20.52043	22.26	45.85	1.2	0.999306	19.8050	1.24728	773.78	0.96514	3.28	0
81	11:45:19.17	0.0360	20.52050	22.26	45.85	1.2	0.999312	19.8055	1.24732	773.78	0.96516	3.28	0
82	11:45:19.47	0.0375	20.52008	22.26	45.85	1.2	0.999288	19.8055	1.24732	773.80	0.96518	3.28	0
83	11:45:19.77	0.0360	20.52050	22.26	45.85	1.2	0.999312	19.8053	1.24732	773.78	0.96515	3.28	0
84	11:45:20.08	0.0355	20.52078	22.26	45.85	1.2	0.999324	19.8061	1.24732	773.80	0.96517	3.28	0
85	11:45:20.38	0.0370	20.52022	22.26	45.85	1.2	0.999294	19.8059	1.24736	773.80	0.96519	3.28	0
86	11:45:20.67	0.0370	20.52022	22.26	45.85	1.2	0.999300	19.8059	1.24736	773.78	0.96518	3.28	0
87	11:45:20.97	0.0370	20.52022	22.26	45.85	1.2	0.999300	19.8054	1.24732	773.80	0.96517	3.28	0
88	11:45:21.27	0.0390	20.51931	22.26	45.85	1.2	0.999252	19.8053	1.24736	773.80	0.96520	3.28	0
